Experiment ID,Spymaster ID,Date ,Round,Clue,Difficulty,Confidence,Score,Clue audio start,Clue audio end ,Clue video start,Clue video end ,clue_id
2,2,27/02/2026,1,Door 2,2,3,2/2,0:00,0:29,0:00,0:30,1
2,2,27/02/2026,1,Homosapien 2,1,4,1/2,2:00,2:08,2:00,2:08,2
2,2,27/02/2026,2,Human 2,2,4,1/2,0:00,0:04,0:00,0:04,3
2,2,27/02/2026,2,Sculpture 2,4,2,1/2,1:17,1:35,1:17,1:35,4
2,2,27/02/2026,2,Fountain 2,3,4,2/2,3:03,3:37,3:04,3:36,5
2,2,27/02/2026,2,Track 2,2,4,2/2,4:25,4:33,4:25,4:32,6
2,2,27/02/2026,2,Magnify 1,1,5,1/1,5:00,5:05,5:00,5:05,7
2,2,27/02/2026,3,Sign 2,4,2,1/2,0:40,1:03,0:40,1:03,8
2,2,27/02/2026,3,Animal 2,3,3,2/2,1:43,1:50,1:43,1:50,9
2,2,27/02/2026,3,Cloth 2,3,4,2/2,2:40,3:12,2:40,3:12,10
2,2,27/02/2026,3,Bulb 2,5,2,1/2,3:55,5:16,3:55,5:16,11
2,2,27/02/2026,3,Child 1 ,1,5,1/1,6:00,6:04,6:00,6:04,12
2,3,27/02/2026,1,Device 2,4,3,1/2,0:20,0:52,0:00,0:45,13
2,3,27/02/2026,1,Transport 3,4,4,1/3,1:43,2:52,1:51,2:45,14
2,3,27/02/2026,1,Travel 3,3,4,3/3,4:37,4:54,4:28,4:48,15
2,3,27/02/2026,1,Face 2,4,3,2/2,6:00,7:05,5:50,7:00,16
2,3,27/02/2026,2,Sea 2,5,3,1/2,0:00,1:32,0:00,1:32,17
2,3,27/02/2026,2,Animal 5,2,4,5/5,2:20,2:40,2:20,2:40,18
2,3,27/02/2026,2,Person 2,1,5,2/2,4:40,4:45,4:40,4:45,19
2,3,27/02/2026,2,Ring 1 ,1,5,1/1,5:20,5:31,5:20,5:31,20
3,4,10/03/2026,1,Fly 3,2,4,3/3,0:00,0:22,0:00,0:27,21
3,4,10/03/2026,1,Hobby 2,4,2,1/2,1:36,2:05,1:36,2:10,22
3,4,10/03/2026,1,Monster 2,4,2,1/2,2:58,3:41,3:03,3:44,23
3,4,10/03/2026,1,Childhood 3,4,2,2/3,4:55,5:10,5:00,5:14,24
3,4,10/03/2026,2,Animal 4,2,3,4/4,0:10,0:33,0:15,0:38,25
3,4,10/03/2026,2,Feet 2,4,2,2/2,2:11,3:09,2:16,3:14,26
3,4,10/03/2026,2,Robot 1,1,5,1/1,3:41,3:57,3:46,4:02,27
3,4,10/03/2026,2,Liberty 1,1,4,1/1,4:26,4:30,4:31,4:35,28
3,4,10/03/2026,3,Time 2,3,3,1/2,0:12,0:57,0:14,0:59,29
3,4,10/03/2026,3,Ancient 2,2,3,1/2,3:13,3:23,3:15,3:25,30
3,4,10/03/2026,3,Mouse 2,4,2,2/2,4:22,4:54,4:24,4:56,31
