Clue ID,Source (Video),Participant ID,Date,Game #,Round #,Clue start timestamp,Clue end timestamp,Clue Difficulty
1,game1.1.mov,1,9/2/2026,1,1,0:00,0:37,2
2,game1.1.mov,1,9/2/2026,1,1,1:50,2:23,4
3,game1.1.mov,1,9/2/2026,1,1,3:40,4:00,3
4,game1.1.mov,1,9/2/2026,1,1,5:18,5:27,1
5,game1.2.mov,1,9/2/2026,1,2,1:04,1:22,2
6,game1.2.mov,1,9/2/2026,1,2,2:20,2:50,3
7,game1.2.mov,1,9/2/2026,1,2,4:10,4:30,4
8,game1.2.mov,1,9/2/2026,1,2,5:24,5:40,3
9,game1.2.mov,1,9/2/2026,1,3,12:19,12:49,2
10,game1.2.mov,1,9/2/2026,1,3,13:28,14:02,4
11,game1.2.mov,1,9/2/2026,1,3,14:21,14:50,3
12,game1.2.mov,1,9/2/2026,1,4,16:40,17:04,2
13,game1.2.mov,1,9/2/2026,1,4,17:21,18:11,3
14,game1.2.mov,1,9/2/2026,1,4,18:50,18:58,2
15,game1.2.mov,1,9/2/2026,1,4,19:44,20:20,4
